date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:55:34	10712/10712	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2019%20Dec%202023%2017:55:33%20GMT	https://oi-themes.web.app/robots.txt		(from )
22:55:34	25696/25696	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20May%202023%2006:27:05%20GMT	https://oi-themes.web.app/Brayn/	C:/My%20Web%20Sites/Shanghai/oi-themes.web.app/Brayn/index.html	(from )
22:55:34	2449/2449	---M--	200	added ('OK')	image/png	date:Fri,%2012%20May%202023%2006:27:05%20GMT	https://oi-themes.web.app/Brayn/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/Shanghai/oi-themes.web.app/Brayn/favicon/apple-touch-icon.png	(from https://oi-themes.web.app/Brayn/)
22:55:34	997/997	---M--	200	added ('OK')	image/png	date:Fri,%2012%20May%202023%2006:27:05%20GMT	https://oi-themes.web.app/Brayn/favicon/favicon-32x32.png	C:/My%20Web%20Sites/Shanghai/oi-themes.web.app/Brayn/favicon/favicon-32x32.png	(from https://oi-themes.web.app/Brayn/)
22:55:35	691/691	---M-Z	200	added ('OK')	image/png	date:Fri,%2012%20May%202023%2006:27:05%20GMT	https://oi-themes.web.app/Brayn/favicon/favicon-16x16.png	C:/My%20Web%20Sites/Shanghai/oi-themes.web.app/Brayn/favicon/favicon-16x16.png	(from https://oi-themes.web.app/Brayn/)
22:55:35	440/440	---M-Z	200	added ('OK')	application/manifest+json	date:Fri,%2012%20May%202023%2006:27:05%20GMT	https://oi-themes.web.app/Brayn/site.webmanifest	C:/My%20Web%20Sites/Shanghai/oi-themes.web.app/Brayn/site.webmanifest	(from https://oi-themes.web.app/Brayn/)
22:55:35	1220/1220	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2012%20May%202023%2006:27:05%20GMT	https://oi-themes.web.app/Brayn/favicon/safari-pinned-tab.svg	C:/My%20Web%20Sites/Shanghai/oi-themes.web.app/Brayn/favicon/safari-pinned-tab.svg	(from https://oi-themes.web.app/Brayn/)
22:55:36	130708/130708	---M-Z	200	added ('OK')	text/css	date:Fri,%2012%20May%202023%2006:27:05%20GMT	https://oi-themes.web.app/Brayn/assets/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/Shanghai/oi-themes.web.app/Brayn/assets/bootstrap/css/bootstrap.min.css	(from https://oi-themes.web.app/Brayn/)
22:55:36	479/479	---M-Z	200	added ('OK')	text/css	date:Fri,%2012%20May%202023%2006:27:05%20GMT	https://oi-themes.web.app/Brayn/assets/css/plugins.css	C:/My%20Web%20Sites/Shanghai/oi-themes.web.app/Brayn/assets/css/plugins.css	(from https://oi-themes.web.app/Brayn/)
22:55:36	65743/65743	---M-Z	200	added ('OK')	text/css	date:Fri,%2012%20May%202023%2006:27:05%20GMT	https://oi-themes.web.app/Brayn/assets/css/site.css	C:/My%20Web%20Sites/Shanghai/oi-themes.web.app/Brayn/assets/css/site.css	(from https://oi-themes.web.app/Brayn/)
22:55:37	16645/16645	---M-Z	200	added ('OK')	text/css	date:Fri,%2012%20May%202023%2006:27:05%20GMT	https://oi-themes.web.app/Brayn/assets/css/default-skin.css	C:/My%20Web%20Sites/Shanghai/oi-themes.web.app/Brayn/assets/css/default-skin.css	(from https://oi-themes.web.app/Brayn/)
